REF_AREA;Coğrafi Kapsam (TR);FREQ;Gözlem Sıklığı (A);INDICATOR;İstatistiksel Gösterge (NG_ADNKS);ADNKS_GOSTERGE;ADNKS Gösterge (NUFUS);Zaman (TIME_PERIOD);Gözlem;OBS_STATUS;Gözlem Durumu;TIME_FORMAT;Zaman Formatı;DECIMAL;Ondalık Basamak Sayısı;UNIT_MEASURE;Ölçü Birimi;UNIT_MULT;Birim Çarpanı
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2025;86092168;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2024;85664944;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2023;85372377;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2022;85279553;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2021;84680273;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2020;83614362;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2019;83154997;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2018;82003882;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2017;80810525;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2016;79814871;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2015;78741053;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2014;77695904;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2013;76667864;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2012;75627384;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2011;74724269;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2010;73722988;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2009;72561312;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2008;71517100;;;;;;;;;;
TR;Türkiye;A;Yıllık;NG_ADNKS;Adrese Dayalı Nüfus Kayıt Sistemi;NUFUS;Nüfus;2007;70586256;;;;;;;;;;
